"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
3844016,Y,N,"       (2019 SY2)",,APO,26.60,,,,,0.6478,2.583,0.910,2.83,4.15,0.0022,4.26,2019-09-22
3844014,Y,N,"       (2019 SZ2)",,AMO,19.78,,,,,0.2486,1.683,1.265,22.45,2.18,0.287,2.10,2008-12-30
3844015,Y,N,"       (2019 SA3)",,AMO,22.20,,,,,0.4455,2.158,1.197,7.06,3.17,0.223,3.12,2019-09-22
3844017,Y,N,"       (2019 SB3)",,AMO,25.45,,,,,0.3395,1.676,1.107,3.71,2.17,0.107,2.25,2019-09-22
3844019,Y,N,"       (2019 SE3)",,APO,25.20,,,,,0.2935,1.055,0.746,4.98,1.08,0.0121,1.36,2019-09-22
3844020,Y,N,"       (2019 SF3)",,AMO,23.96,,,,,0.4748,2.035,1.069,1.52,2.9,0.0616,3.00,2019-09-17
3844021,Y,N,"       (2019 SG3)",,AMO,26.20,,,,,0.4077,1.761,1.043,7.93,2.34,0.0579,2.48,2019-09-22
3844022,Y,N,"       (2019 SH3)",,APO,25.60,,,,,0.6122,2.148,0.833,7.02,3.15,0.00641,3.46,2019-09-22
3844023,Y,N,"       (2019 SJ3)",,AMO,24.10,,,,,0.4603,2.183,1.178,7.26,3.23,0.184,3.19,2019-09-22
3844024,Y,N,"       (2019 SL3)",,APO,27.10,,,,,0.2009,1.197,0.956,8.48,1.31,0.0186,1.44,2019-09-24
3844025,Y,N,"       (2019 SN3)",,APO,26.50,,,,,0.4892,1.904,0.973,0.86,2.63,0.00316,2.84,2019-09-23
3844027,Y,N,"       (2019 SP3)",,APO,26.20,,,,,0.6021,2.463,0.980,1.15,3.87,0.00199,3.95,2019-09-22
3844028,Y,N,"       (2019 SR3)",,AMO,20.64,,,,,0.4862,2.015,1.035,8.84,2.86,0.149,2.99,2016-08-03
3844029,Y,N,"       (2019 SS3)",,APO,26.20,,,,,0.4648,1.368,0.732,7.67,1.6,0.00195,2.00,2019-09-25
3856703,Y,N,"       (2019 SU3)",,APO,27.20,,,,,0.1085,1.12,0.999,1.29,1.19,0.00273,1.24,2019-09-23
3856702,Y,N,"       (2019 SV3)",,AMO,23.10,,,,,0.3189,1.806,1.230,12.53,2.43,0.237,2.38,2019-09-22
3856704,Y,N,"       (2019 SW3)",,AMO,24.30,,,,,0.2872,1.51,1.077,15.83,1.86,0.0755,1.94,2019-09-22
3856706,Y,N,"       (2019 SX3)",,APO,25.40,,,,,0.4913,1.899,0.966,4.55,2.62,0.000965,2.83,2019-09-25
3856705,Y,N,"       (2019 SY3)",,APO,23.30,,,,,0.5837,1.89,0.787,9.68,2.6,0.0578,2.99,2019-09-24
3856708,Y,N,"       (2019 SF4)",,APO,25.71,,,,,0.5454,2.203,1.001,1.48,3.27,0.0132,3.40,2019-09-20
3856710,Y,N,"       (2019 SG4)",,ATE,24.79,,,,,0.4887,0.825,0.422,15.28,0.749,0.0311,1.23,2019-09-24
3856709,Y,N,"       (2019 SH4)",,APO,22.80,,,,,0.7745,1.996,0.450,5.45,2.82,0.0305,3.54,2019-09-24
3856711,Y,N,"       (2019 SJ4)",,APO,25.60,,,,,0.5270,1.714,0.811,6.81,2.24,0.00228,2.62,2019-09-25
3856713,Y,N,"       (2019 SK4)",,APO,24.20,,,,,0.4424,1.68,0.937,29.68,2.18,0.0826,2.42,2019-09-25
3856712,Y,N,"       (2019 SL4)",,APO,23.90,,,,,0.5141,1.722,0.837,6.34,2.26,0.00479,2.61,2019-09-25
3856714,Y,N,"       (2019 SM4)",,APO,23.50,,,,,0.4732,1.742,0.918,15.75,2.3,0.0365,2.57,2019-09-25
3856716,Y,N,"       (2019 SN4)",,APO,24.40,,,,,0.6767,1.899,0.614,2.22,2.62,0.0153,3.18,2019-09-25
3856715,Y,N,"       (2019 SO4)",,APO,27.38,,,,,0.5282,2.127,1.003,2.60,3.1,0.0142,3.25,2019-09-20
3856719,Y,N,"       (2019 SP4)",,APO,23.70,,,,,0.5393,2.098,0.967,4.30,3.04,0.0424,3.23,2019-09-25
3856717,Y,N,"       (2019 SQ4)",,AMO,21.45,,,,,0.5577,2.616,1.157,1.12,4.23,0.168,4.07,2019-09-05
3856718,Y,N,"       (2019 SR4)",,APO,26.12,,,,,0.5556,2.096,0.931,7.03,3.03,0.0135,3.26,2019-09-19
3856728,Y,N,"       (2019 ST4)",,AMO,23.40,,,,,0.5830,2.875,1.199,10.40,4.87,0.201,4.55,2019-09-24
3856729,Y,N,"       (2019 SV4)",,ATE,21.22,,,,,0.6540,0.9707,0.336,12.09,0.956,0.102,1.61,2018-11-08
3856730,Y,N,"       (2019 SX4)",,AMO,24.25,,,,,0.2545,1.393,1.039,28.31,1.64,0.119,1.75,2019-09-25
3856734,Y,N,"       (2019 SY4)",,AMO,24.70,,,,,0.6075,2.629,1.032,4.56,4.26,0.0258,4.23,2019-09-22
3856731,Y,N,"       (2019 SZ4)",,APO,25.60,,,,,0.2351,1.105,0.845,6.21,1.16,0.00584,1.36,2019-09-24
3856733,Y,N,"       (2019 SA5)",,AMO,25.80,,,,,0.5952,2.548,1.031,1.56,4.07,0.034,4.06,2019-09-26
3856732,Y,N,"       (2019 SB5)",,APO,28.20,,,,,0.1430,1.091,0.935,5.13,1.14,0.0106,1.25,2019-09-26
3856735,Y,N,"       (2019 SC5)",,APO,24.60,,,,,0.3058,1.344,0.933,17.05,1.56,0.0787,1.75,2019-09-25
3869320,Y,N,"       (2019 SE5)",,APO,26.66,,,,,0.3674,1.595,1.009,7.82,2.01,0.0135,2.18,2019-09-25
3869322,Y,N,"       (2019 SF5)",,AMO,25.20,,,,,0.5306,2.282,1.071,2.41,3.45,0.0867,3.49,2019-09-26
3869321,Y,N,"       (2019 SG5)",,AMO,23.45,,,,,0.4487,2.288,1.261,4.57,3.46,0.263,3.31,2019-09-25
3869323,Y,N,"       (2019 SO5)",,AMO,23.40,,,,,0.4799,2.263,1.177,8.97,3.4,0.184,3.35,2019-09-26
3869326,Y,N,"       (2019 SQ5)",,AMO,23.53,,,,,0.5104,2.485,1.217,5.48,3.92,0.217,3.75,2019-09-25
3869325,Y,N,"       (2019 SR5)",,APO,22.82,,,,,0.3938,1.079,0.654,9.74,1.12,0.108,1.50,2019-09-26
3869327,Y,N,"       (2019 SS5)",,AMO,24.00,,,,,0.5081,2.452,1.206,0.93,3.84,0.202,3.70,2019-09-26
3872619,Y,N,"       (2019 SV5)",,AMO,21.50,,,,,0.5290,2.649,1.248,10.68,4.31,0.247,4.05,2019-09-26
3869329,Y,N,"       (2019 SW5)",,APO,25.10,,,,,0.5155,1.762,0.854,13.98,2.34,0.00501,2.67,2019-09-27
3869330,Y,N,"       (2019 SX5)",,APO,23.10,,,,,0.7168,2.039,0.578,4.45,2.91,0.0403,3.50,2019-09-06
3869334,Y,N,"       (2019 SY5)",,AMO,22.63,,,,,0.4575,2.242,1.216,5.60,3.36,0.226,3.27,2019-09-22
3869333,Y,N,"       (2019 SZ5)",,AMO,25.10,,,,,0.5043,2.217,1.099,2.51,3.3,0.113,3.34,2019-09-25
3869332,Y,N,"       (2019 SA6)",,APO,25.34,,,,,0.4569,1.086,0.590,19.76,1.13,0.0299,1.58,2019-09-27
3869331,Y,N,"       (2019 SB6)",,APO,26.78,,,,,0.2660,1.003,0.736,7.20,1.01,0.00141,1.27,2019-09-28
3869335,Y,N,"       (2019 SC6)",,APO,27.80,,,,,0.5189,1.399,0.673,9.05,1.66,0.00311,2.13,2019-09-28
3869336,Y,N,"       (2019 SF6)",,ATE,26.26,,,,,0.4163,0.7627,0.445,2.17,0.666,0.015,1.08,2015-10-09
3869337,Y,N,"       (2019 SH6)",,AMO,20.00,,,,,0.4761,2.005,1.050,8.16,2.84,0.0667,2.96,2002-11-17
3869338,Y,N,"       (2019 SJ6)",,AMO,25.60,,,,,0.4224,1.933,1.116,1.76,2.69,0.117,2.75,2019-09-26
3869343,Y,N,"       (2019 SO6)",,APO,25.40,,,,,0.8331,2.32,0.387,1.11,3.53,0.00278,4.25,2019-09-26
3869341,Y,N,"       (2019 SP6)",,AMO,22.35,,,,,0.1062,1.371,1.226,34.84,1.61,0.259,1.52,2019-09-25
3869340,Y,N,"       (2019 SQ6)",,AMO,25.59,,,,,0.5125,2.132,1.040,1.90,3.11,0.0406,3.22,2019-09-28
3869342,Y,N,"       (2019 SR6)",,AMO,24.50,,,,,0.5376,2.451,1.134,4.61,3.84,0.128,3.77,2019-09-26
3869344,Y,N,"       (2019 ST6)",,AMO,25.00,,,,,0.4169,1.754,1.023,23.92,2.32,0.0502,2.48,2019-09-27
3869345,Y,N,"       (2019 SU6)",,APO,26.40,,,,,0.5326,1.627,0.761,6.78,2.08,0.00589,2.49,2019-09-29
3869346,Y,N,"       (2019 SV6)",,ATE,23.80,,,,,0.5027,0.7912,0.393,6.17,0.704,0.0531,1.19,2019-09-27
3869348,Y,N,"       (2019 SW6)",,AMO,25.70,,,,,0.5389,2.279,1.051,8.04,3.44,0.0689,3.51,2019-09-24
3869347,Y,N,"       (2019 SX6)",,APO,26.00,,,,,0.4511,1.799,0.988,1.36,2.41,0.0108,2.61,2019-09-24
3869349,Y,N,"       (2019 SY6)",,ATE,25.10,,,,,0.5352,0.7981,0.371,11.14,0.713,0.0148,1.23,2019-09-27
3869350,Y,N,"       (2019 SZ6)",,APO,22.20,,,,,0.7829,1.193,0.259,12.56,1.3,0.112,2.13,2019-09-28
3869351,Y,N,"       (2019 SA7)",,AMO,24.40,,,,,0.2572,1.439,1.069,28.19,1.73,0.134,1.81,2019-09-28
3872612,Y,N,"       (2019 SC7)",,AMO,21.54,,,,,0.3239,1.832,1.239,10.87,2.48,0.327,2.43,2014-08-27
3869353,Y,N,"       (2019 SD7)",,AMO,23.70,,,,,0.3768,1.764,1.099,14.10,2.34,0.128,2.43,2019-08-28
3869352,Y,N,"       (2019 SE7)",,APO,23.90,,,,,0.1942,1.195,0.963,32.39,1.31,0.0909,1.43,2019-09-28
3869354,Y,N,"       (2019 SF7)",,AMO,24.88,,,,,0.4978,2.109,1.059,4.10,3.06,0.0878,3.16,2019-09-19
3872621,Y,N,"       (2019 SH7)",,AMO,23.29,,,,,0.3582,1.766,1.134,12.72,2.35,0.156,2.40,2019-09-28
3872620,Y,N,"       (2019 SJ7)",,AMO,22.50,,,,,0.5359,2.594,1.204,7.97,4.18,0.211,3.98,2019-09-28
3872623,Y,N,"       (2019 SK7)",,ATE,22.90,,,,,0.2759,0.9654,0.699,17.81,0.949,0.149,1.23,2019-09-28
3872622,Y,N,"       (2019 SL7)",,APO,25.82,,,,,0.6981,2.484,0.750,2.74,3.92,0.00226,4.22,2019-09-26
3872625,Y,N,"       (2019 SM7)",,APO,21.41,,,,,0.4346,1.196,0.676,12.18,1.31,0.192,1.72,2010-10-10
3872624,Y,N,"       (2019 SN7)",,APO,25.40,,,,,0.4709,1.83,0.968,0.64,2.48,0.00299,2.69,2019-09-24
3872626,Y,N,"       (2019 SO7)",,AMO,23.14,,,,,0.6270,2.824,1.054,8.34,4.75,0.0832,4.60,2019-09-28
3872628,Y,N,"       (2019 SV7)",,APO,22.20,,,,,0.6823,2.768,0.879,4.22,4.6,0.000575,4.66,2019-09-06
3872629,Y,N,"       (2019 SW7)",,AMO,22.10,,,,,0.4933,2.414,1.223,6.12,3.75,0.214,3.61,2019-09-22
3872631,Y,N,"       (2019 SC8)",,APO,23.50,,,,,0.5298,1.042,0.490,28.75,1.06,0.0807,1.59,2019-09-24
3872632,Y,N,"       (2019 SD8)",,APO,27.40,,,,,0.5027,1.761,0.876,3.72,2.34,0.00354,2.65,2019-09-22
3872630,Y,N,"       (2019 SE8)",,APO,26.90,,,,,0.7481,2.039,0.514,2.53,2.91,0.00425,3.56,2019-09-30
3872633,Y,N,"       (2019 SF8)",,APO,23.33,,,,,0.4829,1.901,0.983,3.86,2.62,0.0434,2.82,2019-09-29
3872634,Y,N,"       (2019 SH8)",,AMO,23.50,,,,,0.5706,2.474,1.062,1.83,3.89,0.0711,3.89,2019-09-29
3872635,Y,N,"       (2019 SJ8)",,APO,24.50,,,,,0.3700,1.562,0.984,8.25,1.95,0.0292,2.14,2019-09-29
3872638,Y,N,"       (2019 SK8)",,APO,26.10,,,,,0.3314,1.356,0.907,8.96,1.58,0.0241,1.81,2019-09-24
3872637,Y,N,"       (2019 SL8)",,APO,25.90,,,,,0.3626,1.215,0.774,16.29,1.34,0.0186,1.66,2019-09-29
3872636,Y,N,"       (2019 SM8)",,APO,29.20,,,,,0.5184,1.533,0.738,4.64,1.9,0.000869,2.33,2019-09-30
3872642,Y,N,"       (2019 SO8)",,APO,26.70,,,,,0.3231,1.399,0.947,11.78,1.65,0.0186,1.85,2019-09-29
3872643,Y,N,"       (2019 SP8)",,AMO,25.40,,,,,0.5255,2.203,1.045,4.99,3.27,0.0585,3.36,2019-09-29
3872644,Y,N,"       (2019 SQ8)",,APO,23.26,,,,,0.6702,2.313,0.763,2.90,3.52,0.0093,3.86,2019-09-29
3872645,Y,N,"       (2019 SR8)",,APO,25.50,,,,,0.5092,1.783,0.875,1.15,2.38,0.013,2.69,2019-09-26
3872646,Y,N,"       (2019 SS8)",,AMO,25.40,,,,,0.3178,1.617,1.103,10.74,2.06,0.102,2.13,2019-09-26
3873139,Y,N,"       (2019 ST8)",,APO,25.39,,,,,0.7059,2.756,0.811,1.87,4.58,0.000839,4.70,2019-09-30
3873142,Y,N,"       (2019 SU8)",,APO,21.90,,,,,0.6561,2.045,0.703,7.32,2.92,0.121,3.39,2019-09-29
3873140,Y,N,"       (2019 SV8)",,APO,20.53,,,,,0.6500,1.673,0.586,14.90,2.16,0.217,2.76,2019-09-28
3873141,Y,N,"       (2019 SW8)",,APO,25.70,,,,,0.3709,1.615,1.016,1.28,2.05,0.00757,2.21,2019-09-29
3873143,Y,N,"       (2019 SX8)",,APO,28.90,,,,,0.3827,1.53,0.944,4.88,1.89,0.0019,2.12,2019-09-30
3873144,Y,N,"       (2019 SY8)",,AMO,25.05,,,,,0.2694,1.578,1.153,3.93,1.98,0.152,2.00,2019-09-29
3873147,Y,N,"       (2019 SZ8)",,APO,26.20,,,,,0.0755,1.041,0.962,12.39,1.06,0.0168,1.12,2019-09-30
3873145,Y,N,"       (2019 SA9)",,APO,26.80,,,,,0.6067,2.336,0.919,0.68,3.57,0.00797,3.75,2019-09-30
3873146,Y,N,"       (2019 SB9)",,APO,28.10,,,,,0.2641,1.139,0.838,12.07,1.22,0.00644,1.44,2019-09-30
3873148,Y,N,"       (2019 SC9)",,AMO,21.70,,,,,0.6222,2.815,1.063,3.70,4.72,0.0767,4.57,2019-08-05
3873149,Y,N,"       (2019 SE9)",,APO,25.16,,,,,0.1926,1.258,1.016,3.31,1.41,0.0282,1.50,2019-06-29
3873150,Y,N,"       (2019 SF9)",,APO,24.40,,,,,0.0952,1.056,0.956,27.25,1.09,0.00474,1.16,2019-09-30
3873151,Y,N,"       (2019 SG9)",,APO,25.00,,,,,0.7099,2.984,0.866,9.23,5.15,0.0156,5.10,2019-09-30
3873153,Y,N,"       (2019 SH9)",,APO,27.80,,,,,0.5952,1.89,0.765,6.16,2.6,0.00377,3.01,2019-09-30
3873152,Y,N,"       (2019 SJ9)",,APO,27.10,,,,,0.3722,1.58,0.992,10.99,1.99,0.0185,2.17,2019-09-30
3873154,Y,N,"       (2019 SK9)",,APO,27.10,,,,,0.6924,2.532,0.779,3.31,4.03,0.00161,4.29,2019-09-30
3873155,Y,N,"       (2019 ST9)",,APO,20.61,,,,,0.6066,1.667,0.656,29.84,2.15,0.128,2.68,2019-09-04
3873160,Y,N,"       (2019 SU9)",,AMO,24.09,,,,,0.2724,1.512,1.100,2.63,1.86,0.109,1.92,2019-09-04
3873161,Y,N,"       (2019 SV9)",,APO,25.40,,,,,0.6290,2.218,0.823,2.51,3.3,0.0161,3.61,2019-09-30
3873162,Y,N,"       (2019 SW9)",,AMO,24.50,,,,,0.1960,1.326,1.066,6.15,1.53,0.0663,1.59,2019-09-25
3873163,Y,N,"       (2019 SX9)",,AMO,25.10,,,,,0.0190,1.129,1.108,20.30,1.2,0.109,1.15,2019-09-30
3873194,Y,N,"       (2019 SZ9)",,AMO,24.40,,,,,0.2568,1.426,1.060,36.97,1.7,0.138,1.79,2019-09-25
3873195,Y,N,"       (2019 SA10)",,AMO,22.50,,,,,0.4984,2.579,1.294,5.12,4.14,0.304,3.86,2019-09-27
3873197,Y,N,"       (2019 SB10)",,AMO,22.80,,,,,0.5449,2.722,1.239,3.44,4.49,0.252,4.21,2019-09-30
3873199,Y,N,"       (2019 SD10)",,APO,24.60,,,,,0.4475,1.341,0.741,15.91,1.55,0.000203,1.94,2019-09-30
3873203,Y,N,"       (2019 SK10)",,APO,20.21,,,,,0.4609,1.255,0.676,46.09,1.41,0.32,1.83,2019-09-30
3873314,Y,N,"       (2019 SM10)",,AMO,25.10,,,,,0.4744,2.12,1.115,4.95,3.09,0.117,3.13,2019-08-28
3873310,Y,N,"       (2019 SN10)",,APO,21.42,,,,,0.5775,2.149,0.908,25.30,3.15,0.152,3.39,2019-08-31
3873311,Y,N,"       (2019 SO10)",,AMO,21.40,,,,,0.5666,2.909,1.261,13.66,4.96,0.343,4.56,2019-09-24
3873312,Y,N,"       (2019 SP10)",,AMO,22.65,,,,,0.4158,2.161,1.262,7.91,3.18,0.27,3.06,2019-09-24
3873313,Y,N,"       (2019 SQ10)",,AMO,25.30,,,,,0.3277,1.516,1.019,7.09,1.87,0.0181,2.01,2019-09-30
3873315,Y,N,"       (2019 SR10)",,AMO,24.90,,,,,0.5857,2.55,1.056,1.97,4.07,0.0599,4.04,2019-09-30
3874051,Y,N,"       (2019 SU10)",,APO,27.20,,,,,0.6165,2.594,0.995,16.41,4.18,0.00479,4.19,2019-09-25
3873327,Y,N,"       (2019 SV10)",,AMO,23.80,,,,,0.2168,1.37,1.073,21.48,1.6,0.112,1.67,2019-09-30
3874054,Y,N,"       (2019 SW10)",,APO,23.38,,,,,0.5625,1.286,0.563,1.48,1.46,0.0216,2.01,2019-09-29
3878583,Y,N,"       (2019 SB11)",,AMO,20.30,,,,,0.4597,2.336,1.262,5.57,3.57,0.25,3.41,2019-09-29
3878560,Y,N,"       (2019 SC11)",,APO,23.20,,,,,0.7823,2.44,0.531,6.32,3.81,0.0222,4.35,2019-09-30
3878566,Y,N,"       (2019 SD11)",,APO,23.50,,,,,0.5254,1.981,0.940,6.24,2.79,0.0119,3.02,2019-09-30
3879108,Y,N,"       (2019 SE11)",,AMO,25.74,,,,,0.5156,2.199,1.065,8.56,3.26,0.0716,3.33,2019-09-21
54315109,Y,N,"       (2019 SK203)",,APO,26.02,,,,,0.4671,1.37,0.730,2.78,1.6,0.0141,2.01,2019-09-20
3873156,Y,N,"       (2019 TA)",,APO,29.40,,,,,0.2412,1.245,0.945,3.46,1.39,0.00219,1.55,2019-10-01
3873158,Y,N,"       (2019 TB)",,APO,27.30,,,,,0.2122,1.195,0.941,0.48,1.31,0.0059,1.45,2019-10-01
3873157,Y,N,"       (2019 TC)",,AMO,26.40,,,,,0.6243,2.755,1.035,16.44,4.57,0.037,4.48,2019-10-01
3873159,Y,N,"       (2019 TD)",,APO,29.20,,,,,0.5011,1.88,0.938,3.24,2.58,0.000358,2.82,2019-10-01
3873164,Y,N,"       (2019 TE)",,APO,28.00,,,,,0.6029,1.371,0.545,4.80,1.61,0.00141,2.20,2019-10-01
3873196,Y,N,"       (2019 TF)",,AMO,27.60,,,,,0.1736,1.266,1.046,18.43,1.42,0.046,1.49,2019-10-01
3873198,Y,N,"       (2019 TG)",,AMO,24.70,,,,,0.2646,1.469,1.080,22.48,1.78,0.106,1.86,2019-09-30
3873201,Y,N,"       (2019 TH)",,APO,25.70,,,,,0.4626,1.695,0.911,12.78,2.21,0.0365,2.48,2019-09-24
3873202,Y,N,"       (2019 TJ)",,APO,23.50,,,,,0.4758,1.646,0.863,8.34,2.11,0.0258,2.43,2019-09-25
3873204,Y,N,"       (2019 TK)",,APO,28.10,,,,,0.5649,1.958,0.852,11.63,2.74,0.0014,3.06,2019-10-02
3873205,Y,N,"       (2019 TL)",,AMO,24.20,,,,,0.4176,1.828,1.065,6.21,2.47,0.0682,2.59,2019-10-01
3873207,Y,N,"       (2019 TM)",,APO,25.00,,,,,0.5962,2.045,0.826,3.76,2.92,0.0132,3.26,2019-09-22
3873206,Y,N,"       (2019 TN)",,APO,22.04,,,,,0.2452,1.238,0.934,16.88,1.38,0.011,1.54,2015-11-18
3873208,Y,N,"       (2019 TO)",,AMO,21.59,,,,,0.2705,1.526,1.114,24.32,1.89,0.154,1.94,2019-10-01
3873209,Y,N,"       (2019 TP)",,AMO,20.66,,,,,0.2268,1.664,1.287,27.34,2.15,0.316,2.04,2017-09-19
3873316,Y,N,"       (2019 TQ)",,APO,24.70,,,,,0.4887,1.734,0.887,35.97,2.28,0.0197,2.58,2019-10-02
3873317,Y,N,"       (2019 TR)",,APO,25.60,,,,,0.4725,1.913,1.009,4.87,2.65,0.0252,2.82,2019-10-02
3873318,Y,N,"       (2019 TS)",,APO,25.60,,,,,0.3803,1.509,0.935,0.53,1.85,0.00662,2.08,2019-09-06
3873320,Y,N,"       (2019 TT)",,AMO,24.80,,,,,0.3628,1.621,1.033,11.80,2.06,0.0452,2.21,2019-09-25
3873321,Y,N,"       (2019 TU)",,APO,26.04,,,,,0.4264,1.502,0.861,0.71,1.84,0.000654,2.14,2019-10-01
3873322,Y,N,"       (2019 TV)",,APO,28.10,,,,,0.4980,1.914,0.961,6.69,2.65,0.00519,2.87,2019-10-03
3873319,Y,N,"       (2019 TW)",,APO,27.70,,,,,0.2467,1.343,1.012,2.38,1.56,0.00951,1.67,2019-09-27
3873323,Y,N,"       (2019 TX)",,APO,28.70,,,,,0.3289,1.359,0.912,1.50,1.58,0.000492,1.81,2019-09-24
3873324,Y,N,"       (2019 TY)",,APO,22.83,,,,,0.6191,2.557,0.974,5.41,4.09,0.073,4.14,2019-09-05
3873326,Y,N,"       (2019 TZ)",,APO,26.60,,,,,0.3842,1.087,0.670,1.24,1.13,0.0155,1.51,2019-10-02
3873325,Y,N,"       (2019 TA1)",,APO,26.10,,,,,0.2637,1.305,0.961,7.99,1.49,0.0381,1.65,2019-10-03
3873328,Y,N,"       (2019 TC1)",,APO,27.40,,,,,0.5211,1.625,0.778,2.02,2.07,0.00879,2.47,2019-10-03
3874055,Y,N,"       (2019 TE1)",,AMO,23.90,,,,,0.4618,2.136,1.150,22.46,3.12,0.168,3.12,2019-10-01
3874056,Y,N,"       (2019 TF1)",,APO,27.40,,,,,0.3404,1.335,0.881,1.24,1.54,0.000197,1.79,2019-10-03
3874057,Y,N,"       (2019 TK1)",,AMO,24.10,,,,,0.2106,1.298,1.025,19.39,1.48,0.0525,1.57,2019-10-03
3878565,Y,N,"       (2019 TM1)",,APO,24.20,,,,,0.1776,1.186,0.976,12.67,1.29,0.0823,1.40,2019-10-03
3878557,Y,N,"       (2019 TN1)",,APO,27.10,,,,,0.6127,2.596,1.005,2.82,4.18,0.0268,4.19,2019-10-03
3878558,Y,N,"       (2019 TO1)",,APO,25.40,,,,,0.3420,1.461,0.962,1.93,1.77,0.0237,1.96,2019-10-03
3878564,Y,Y,"       (2019 TP1)",,APO,21.18,,,,,0.2694,1.296,0.947,25.22,1.48,0.0329,1.64,2016-09-06
3878561,Y,N,"       (2019 TS1)",,APO,24.26,,,,,0.2316,1.307,1.005,23.36,1.5,0.135,1.61,2019-10-03
3878562,Y,N,"       (2019 TT1)",,APO,26.10,,,,,0.4723,1.468,0.774,9.12,1.78,0.00699,2.16,2019-10-03
3878567,Y,N,"       (2019 TV1)",,APO,26.00,,,,,0.0788,1.096,1.010,16.76,1.15,0.0428,1.18,2019-10-05
3878568,Y,N,"       (2019 TW1)",,APO,27.92,,,,,0.5143,1.814,0.881,8.09,2.44,0.000226,2.75,2019-10-05
3878569,Y,N,"       (2019 TY1)",,AMO,26.01,,,,,0.3659,1.65,1.046,8.30,2.12,0.0473,2.25,2019-09-20
3878570,Y,N,"       (2019 TZ1)",,AMO,24.00,,,,,0.3517,1.602,1.039,4.06,2.03,0.0865,2.17,2018-02-12
3878572,Y,N,"       (2019 TA2)",,ATE,24.80,,,,,0.2094,0.9438,0.746,9.50,0.917,0.0246,1.14,2019-09-29
3878571,Y,N,"       (2019 TB2)",,AMO,20.70,,,,,0.4349,2.135,1.206,4.97,3.12,0.199,3.06,2016-09-10
3878573,Y,N,"       (2019 TC2)",,APO,27.90,,,,,0.3579,1.282,0.823,8.50,1.45,0.00232,1.74,2019-10-05
3878574,Y,N,"       (2019 TE2)",,APO,25.50,,,,,0.5910,2.335,0.955,4.02,3.57,0.00248,3.72,2019-09-24
3878577,Y,N,"       (2019 TF2)",,APO,26.30,,,,,0.0797,1.043,0.960,2.41,1.06,0.000559,1.13,2019-09-29
3878576,Y,N,"       (2019 TG2)",,APO,24.00,,,,,0.3148,1.36,0.932,29.13,1.59,0.045,1.79,2019-10-05
3878575,Y,N,"       (2019 TH2)",,APO,26.50,,,,,0.4606,1.857,1.002,7.81,2.53,0.0224,2.71,2019-10-05
3878578,Y,N,"       (2019 TL2)",,AMO,24.40,,,,,0.2074,1.392,1.103,9.04,1.64,0.12,1.68,2019-08-22
3878579,Y,N,"       (2019 TM2)",,AMO,24.20,,,,,0.2395,1.345,1.023,2.16,1.56,0.0343,1.67,2019-10-01
3878580,Y,N,"       (2019 TN2)",,AMO,23.12,,,,,0.1362,1.194,1.031,29.55,1.3,0.0837,1.36,2019-10-02
3878581,Y,N,"       (2019 TQ2)",,APO,24.80,,,,,0.6736,2.866,0.936,8.46,4.85,0.0286,4.80,2019-10-05
3878582,Y,N,"       (2019 TR2)",,APO,23.42,,,,,0.6041,2.143,0.848,12.69,3.14,0.0335,3.44,2019-10-05
3878585,Y,N,"       (2019 TS2)",,AMO,25.59,,,,,0.3781,1.696,1.055,8.66,2.21,0.069,2.34,2019-09-20
3878584,Y,N,"       (2019 TT2)",,APO,26.80,,,,,0.5749,2.321,0.987,2.14,3.54,0.00747,3.65,2019-10-05
3878586,Y,N,"       (2019 TU2)",,APO,26.40,,,,,0.3355,1.324,0.880,2.69,1.52,0.00521,1.77,2019-10-05
3878587,Y,N,"       (2019 TV2)",,APO,23.15,,,,,0.5774,2.331,0.985,6.02,3.56,0.0718,3.68,2019-10-05
3878588,Y,N,"       (2019 TE3)",,ATE,25.50,,,,,0.2349,0.8381,0.641,23.12,0.767,0.0291,1.03,2019-10-05
3878589,Y,N,"       (2019 TF3)",,ATE,28.00,,,,,0.2650,0.8134,0.598,3.65,0.734,0.000865,1.03,2019-10-05
3878593,Y,N,"       (2019 TK3)",,APO,19.35,,,,,0.6781,2.171,0.699,37.23,3.2,0.125,3.64,2019-05-05
3878592,Y,N,"       (2019 TL3)",,APO,24.90,,,,,0.4438,1.783,0.991,21.29,2.38,0.0213,2.57,2019-10-06
3878591,Y,N,"       (2019 TM3)",,APO,27.60,,,,,0.1634,1.05,0.879,17.01,1.08,0.00358,1.22,2019-10-07
3878595,Y,N,"       (2019 TO3)",,APO,24.70,,,,,0.4281,1.739,0.995,11.79,2.29,0.038,2.48,2019-10-06
3878596,Y,N,"       (2019 TP3)",,APO,26.40,,,,,0.3693,1.559,0.983,11.36,1.95,0.0114,2.14,2019-10-07
3878597,Y,N,"       (2019 TQ3)",,APO,25.90,,,,,0.6390,1.916,0.692,9.40,2.65,0.0234,3.14,2019-10-06
3878599,Y,N,"       (2019 TV3)",,AMO,23.20,,,,,0.4759,2.129,1.116,3.79,3.11,0.139,3.14,2019-10-05
