"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
3328821,Y,N,"       (2006 FL10)",,AMO,21.50,,,,,0.3043,1.545,1.074,18.78,1.92,0.28,2.01,2006-03-24
3328950,Y,N,"       (2006 FV33)",,AMO,20.10,,,,,0.5173,2.218,1.071,19.00,3.3,0.309,3.37,2006-03-25
3329226,Y,N,"       (2006 FC35)",,AMO,21.21,,,,,0.3747,1.722,1.077,21.12,2.26,0.192,2.37,2006-03-29
3329243,Y,N,"       (2006 FY35)",,AMO,19.50,,,,,0.3597,1.813,1.161,21.24,2.44,0.18,2.47,2006-03-25
3329254,Y,N,"       (2006 FG36)",,AMO,18.97,,,,,0.5416,2.266,1.039,10.21,3.41,0.0642,3.49,2006-01-21
3329277,Y,N,"       (2006 GA)",,APO,21.50,,,,,0.6175,2.452,0.938,18.04,3.84,0.081,3.97,2006-04-02
3329279,Y,N,"       (2006 GC)",,APO,24.00,,,,,0.5790,2.199,0.926,5.63,3.26,0.0381,3.47,2006-04-02
3329370,Y,N,"       (2006 GB1)",,APO,23.60,,,,,0.2882,1.134,0.807,0.83,1.21,0.00993,1.46,2006-04-02
3329371,Y,Y,"       (2006 GC1)",,APO,20.50,,,,,0.8172,1.706,0.312,5.98,2.23,0.00921,3.10,2006-04-02
3329605,Y,N,"       (2006 GU2)",,APO,27.80,,,,,0.2560,1.08,0.803,3.38,1.12,0.00151,1.36,2006-04-07
3329825,Y,N,"       (2006 GT3)",,AMO,21.34,,,,,0.3615,1.721,1.099,8.66,2.26,0.127,2.34,2006-04-07
3329986,Y,N,"       (2006 HB)",,AMO,18.93,,,,,0.4696,2.291,1.215,3.78,3.47,0.206,3.37,2006-04-18
3329987,Y,N,"       (2006 HC)",,AMO,25.40,,,,,0.0747,1.111,1.028,7.84,1.17,0.0233,1.19,2006-04-18
3330049,Y,Y,"       (2006 HC2)",,APO,21.80,,,,,0.4871,1.71,0.877,3.75,2.24,0.0156,2.54,2006-04-19
3330050,Y,Y,"       (2006 HD2)",,APO,20.90,,,,,0.6011,2.031,0.810,4.02,2.89,0.028,3.25,2005-10-20
3330051,Y,N,"       (2006 HE2)",,APO,26.50,,,,,0.1567,1.065,0.898,1.18,1.1,0.00442,1.23,2006-04-19
3330155,Y,Y,"       (2006 HV5)",0.307,ATE,19.41,,0.246,,,0.3156,0.8424,0.577,32.02,0.773,0.0166,1.11,2006-04-19
3330156,Y,N,"       (2006 HW5)",,AMO,24.30,,,,,0.5705,2.399,1.030,6.04,3.71,0.0273,3.77,2006-04-20
3330158,Y,N,"       (2006 HY5)",,AMO,20.20,,,,,0.3377,1.75,1.159,36.10,2.31,0.422,2.34,2006-04-20
3330159,Y,N,"       (2006 HZ5)",,APO,24.50,,,,,0.2058,1.202,0.954,4.28,1.32,0.0097,1.45,2006-04-20
3330160,Y,N,"       (2006 HA6)",,AMO,20.20,,,,,0.6362,3.274,1.191,22.75,5.92,0.216,5.36,2006-04-20
3330161,Y,N,"       (2006 HF6)",,APO,24.40,,,,,0.5496,1.406,0.633,6.59,1.67,0.00265,2.18,2006-04-21
3330447,Y,N,"       (2006 HJ18)",,APO,21.81,,,,,0.3173,1.084,0.740,10.25,1.13,0.143,1.43,2006-04-23
3330680,Y,Y,"       (2006 HQ30)",,AMO,21.20,,,,,0.6063,2.598,1.023,12.01,4.19,0.00605,4.17,2006-04-20
3330682,Y,N,"       (2006 HS30)",,APO,28.00,,,,,0.5757,2.378,1.009,2.33,3.67,0.0101,3.75,2006-04-24
3330683,Y,Y,"       (2006 HT30)",,APO,20.20,,,,,0.6176,2.566,0.981,1.64,4.11,0.00955,4.15,2002-05-09
3330685,Y,N,"       (2006 HV30)",,APO,22.70,,,,,0.3712,1.592,1.001,34.86,2.01,0.143,2.18,2006-04-25
3330686,Y,N,"       (2006 HX30)",,AMO,26.20,,,,,0.3115,1.484,1.022,0.98,1.81,0.0177,1.95,2006-04-25
3330687,Y,N,"       (2006 HU50)",,APO,24.70,,,,,0.2470,1.288,0.970,5.91,1.46,0.00342,1.61,2006-04-26
3330688,Y,N,"       (2006 HV50)",,ATE,23.60,,,,,0.2610,0.8489,0.627,16.43,0.782,0.0318,1.07,2006-04-26
3330689,Y,N,"       (2006 HW50)",,APO,24.40,,,,,0.1897,1.234,1.000,5.57,1.37,0.0191,1.47,2006-04-23
3330690,Y,N,"       (2006 HY50)",,APO,19.54,,,,,0.6308,2.577,0.951,25.63,4.14,0.239,4.20,2005-11-06
3331069,Y,N,"       (2006 HH56)",,APO,24.00,,,,,0.3245,1.365,0.922,23.85,1.59,0.0304,1.81,2006-04-29
3331094,Y,Y,"       (2006 HW57)",,AMO,20.40,,,,,0.5190,2.146,1.032,7.12,3.14,0.0483,3.26,2006-04-29
3331095,Y,N,"       (2006 HX57)",,APO,25.33,,,,,0.4929,1.801,0.913,0.20,2.42,0.00168,2.69,2006-04-30
3331096,Y,N,"       (2006 HY57)",,AMO,20.80,,,,,0.5630,2.687,1.174,26.15,4.41,0.172,4.20,2006-04-30
3331600,Y,N,"       (2006 JE)",,APO,23.90,,,,,0.7557,1.776,0.434,14.96,2.37,0.0124,3.12,2006-05-01
3331601,Y,N,"       (2006 JF)",,APO,19.64,,,,,0.6580,1.084,0.371,42.51,1.13,0.226,1.80,2005-05-13
3331848,Y,N,"       (2006 JO)",,APO,25.10,,,,,0.6689,2.38,0.788,8.25,3.67,0.0121,3.97,2006-05-02
3331849,Y,N,"       (2006 JP)",,AMO,23.60,,,,,0.3172,1.696,1.158,18.75,2.21,0.152,2.23,2006-05-02
3331851,Y,N,"       (2006 JU)",,AMO,19.68,,,,,0.4685,2.157,1.147,5.36,3.17,0.165,3.17,2006-04-28
3332413,Y,N,"       (2006 JM6)",,AMO,23.70,,,,,0.4886,2.03,1.038,9.20,2.89,0.0318,3.02,2006-05-05
3332414,Y,N,"       (2006 JN6)",,AMO,20.40,,,,,0.3220,1.704,1.156,17.18,2.23,0.157,2.25,2006-05-05
3332531,Y,N,"       (2006 JX25)",,AMO,20.01,,,,,0.4329,2.151,1.220,3.07,3.16,0.213,3.08,2003-09-28
3332533,Y,N,"       (2006 JZ25)",,AMO,19.11,,,,,0.5480,2.406,1.088,10.32,3.73,0.143,3.72,2006-05-06
3332534,Y,N,"       (2006 JV26)",,APO,25.20,,,,,0.7964,2.016,0.410,3.67,2.86,0.0056,3.62,2006-05-08
3332535,Y,N,"       (2006 JY26)",,APO,28.40,,,,,0.0831,1.01,0.926,1.44,1.02,0.000172,1.09,2006-05-06
3332788,Y,N,"       (2006 JT41)",,AMO,24.50,,,,,0.4021,1.752,1.047,1.79,2.32,0.0546,2.46,2006-05-06
3332789,Y,N,"       (2006 JU41)",,AMO,19.30,,,,,0.4286,2.124,1.213,7.59,3.09,0.228,3.03,2006-05-07
3333078,Y,N,"       (2006 JE42)",,AMO,20.01,,,,,0.5992,2.625,1.052,5.33,4.25,0.103,4.20,2006-05-10
3333273,Y,N,"       (2006 KA)",,APO,19.31,,,,,0.5617,1.633,0.716,31.00,2.09,0.0695,2.55,2002-05-30
3333489,Y,N,"       (2006 KC)",,APO,22.20,,,,,0.4734,1.221,0.643,14.47,1.35,0.0308,1.80,2006-05-19
3333490,Y,N,"       (2006 KE)",,AMO,19.48,,,,,0.4936,2.188,1.108,19.45,3.24,0.263,3.27,2006-05-18
3333576,Y,N,"       (2006 KB1)",,APO,24.40,,,,,0.6825,2.465,0.783,0.38,3.87,0.005,4.15,2006-05-20
3333609,Y,N,"       (2006 KP1)",,AMO,20.89,,,,,0.5016,2.149,1.071,6.77,3.15,0.129,3.23,2006-05-19
3333610,Y,N,"       (2006 KQ1)",,AMO,22.03,,,,,0.1757,1.245,1.026,9.61,1.39,0.0477,1.46,2006-05-20
3333612,Y,N,"       (2006 KS1)",,APO,25.41,,,,,0.3149,1.47,1.007,3.65,1.78,0.0233,1.93,2006-05-21
3333737,Y,Y,"       (2006 KK21)",,APO,20.40,,,,,0.8703,2.726,0.354,12.45,4.5,0.0267,5.10,2006-05-23
3333957,Y,N,"       (2006 KP21)",,APO,23.60,,,,,0.5192,2.063,0.992,5.04,2.96,0.0559,3.13,2006-05-23
