   457 Alleghenia       11.00  0.15 0.010   83.9
   458 Hercynia          9.63  0.15 0.170   40.0
   459 Signe            10.44  0.15 0.150   27.0
   460 Scania           10.60  0.15 0.010  100.8
   461 Saskia           10.48  0.15 0.051   45.0
   462 Eriphyla          9.23  0.15 0.300   38.0
   463 Lola             11.82  0.15 0.077   21.0
   464 Megaira           9.52  0.15 0.046   76.0
   465 Alekto            9.70  0.15 0.037   76.0
   466 Tisiphone         8.30  0.15 0.056  120.0
   467 Laura            10.50  0.15 0.036   47.0
   468 Lina              9.83  0.15 0.050   71.0
   469 Argentina         8.62  0.15 0.030  128.0
   470 Kilia            10.07  0.15 0.190   28.0
   471 Papagena          6.73  0.37 0.200  139.0
   472 Roma              8.92  0.15 0.240   47.0
   473 Nolli            12.30  0.15 0.010   46.1
   474 Prudentia        10.60  0.15 0.077   37.0
   475 Ocllo            11.88  0.15 0.033   31.0
   476 Hedwig            8.55  0.15 0.039  121.0
   477 Italia           10.25  0.15 0.210   25.0
   478 Tergeste          7.98  0.15 0.160   81.0
   479 Caprera           9.60  0.15 0.041   77.0
   480 Hansa             8.38  0.15 0.170   57.0
   481 Emita             8.60  0.15 0.041  116.0
   482 Petrina           8.84  0.15 0.150   51.0
   483 Seppina           8.33  0.15 0.130   73.0
   484 Pittsburghia      9.86  0.15 0.010  141.8
   485 Genua             8.30  0.15 0.120   68.0
   486 Cremona          10.89  0.15 0.110   24.0
   487 Venetia           8.14  0.15 0.220   64.0
   488 Kreusa            7.81  0.15 0.052  157.0
   489 Comacina          8.32  0.15 0.038  144.0
   490 Veritas           8.32  0.15 0.057  121.0
   491 Carina            8.50  0.15 0.052  100.0
   492 Gismonda          9.80  0.15 0.047   54.0
   493 Griseldis        10.30  0.15 0.036   51.0
   494 Virtus            8.96  0.15 0.059   88.0
   495 Eulalia          10.78  0.15 0.041   41.0
   496 Gryphia          11.61  0.15 0.100   17.0
   497 Iva              10.02  0.11 0.085   45.0
   498 Tokio             8.95  0.15 0.073   84.0
   499 Venusia           9.39  0.15 0.033   85.0
   500 Selinur           9.30  0.15 0.150   45.0
   501 Urhixidur         8.90  0.15 0.068   79.0
   502 Sigune           10.77  0.15 0.200   20.0
   503 Evelyn            9.14  0.15 0.071   79.0
   504 Cora              9.40  0.15 0.160   31.0
   505 Cava              8.61 -0.03 0.010  252.1
   506 Marion            8.85  0.15 0.044  109.0
   507 Laodica           9.10  0.15 0.120   48.0
   508 Princetonia       8.24  0.15 0.039  147.0
   509 Iolanda           8.40  0.15 0.200   58.0
   510 Mabella           9.73  0.15 0.065   59.0
   511 Davida            6.22  0.16 0.053  336.0
   512 Taurinensis      10.68  0.15 0.150   23.0
   513 Centesima         9.75  0.15 0.083   52.0
   514 Armida            9.04  0.15 0.029  110.0
   515 Athalia          11.23  0.15 0.031   43.0
   516 Amherstia         8.27  0.15 0.150   75.0
   517 Edith             9.35  0.15 0.034   95.0
   518 Halawe           11.00  0.15 0.150   17.0
   519 Sylvania          9.14  0.15 0.120   53.0
   520 Franziska        10.61  0.15 0.081   30.0
   521 Brixia            8.31 -0.06 0.036  120.0
   522 Helga             9.12  0.15 0.027  112.0
   523 Ada               9.60  0.15 0.180   36.0
   524 Fidelio           9.83  0.15 0.038   73.0
   525 Adelaide         12.53  0.15 0.010   41.5
   526 Jena             10.17  0.15 0.058   46.0
   527 Euryanthe        10.10  0.15 0.043   55.0
   528 Rezia             9.14  0.15 0.054   86.0
   529 Preziosa         10.06  0.15 0.100   38.0
   530 Turandot          9.29  0.15 0.043   89.0
   531 Zerlina          11.80  0.15 0.190   17.0
   532 Herculina         5.81  0.26 0.160  230.0
   533 Sara              9.67  0.15 0.190   34.0
   534 Nassovia          9.77  0.15 0.140   37.0
   535 Montague          9.48  0.15 0.047   76.0
   536 Merapi            8.08  0.15 0.042  157.0
   537 Pauly             8.80  0.15 0.230   47.0
   538 Friederike        9.30  0.15 0.051   77.0
   539 Pamina            9.70  0.15 0.066   55.0
   540 Rosamunde        10.76  0.15 0.190   21.0
   541 Deborah          10.10  0.15 0.041   59.0
   542 Susanna           9.36  0.15 0.190   43.0
   543 Charlotte         9.40  0.15 0.130   44.0
   544 Jetta             9.90  0.15 0.220   26.0
   545 Messalina         8.84  0.15 0.050  115.0
   546 Herodias          9.70  0.15 0.049   69.0
   547 Praxedis          9.52  0.15 0.042   72.0
   548 Kressida         11.26  0.15 0.010   74.4
   549 Jessonda         11.01  0.15 0.160   20.0
   550 Senta             9.37  0.15 0.220   39.0
   551 Ortrud            9.57  0.15 0.041   81.0
   552 Sigelinde         9.40  0.15 0.034   80.0
   553 Kundry           12.20  0.15 0.010   48.3
   554 Peraga            8.97  0.15 0.051   98.0
   555 Norma            10.60  0.15 0.060   42.0
   556 Phyllis           9.56  0.15 0.210   39.0
   557 Violetta         11.80  0.15 0.010   58.0
   558 Carmen            9.09  0.15 0.100   61.0
   559 Nanon             9.36  0.15 0.046   79.0
   560 Delila           10.60  0.15 0.060   41.0
   561 Ingwelde         11.21  0.15 0.067   25.0
   562 Salome            9.95  0.15 0.130   35.0
   563 Suleika           8.50  0.15 0.210   54.0
   564 Dudu             10.43  0.15 0.047   50.0
   565 Marbachia        10.88  0.15 0.076   29.0
   566 Stereoskopia      8.03  0.15 0.032  174.0
   567 Eleutheria        9.16  0.15 0.035   96.0
   568 Cheruskia         9.10  0.15 0.038   89.0
   569 Misa             10.12  0.15 0.028   75.0
   570 Kythera           8.81  0.15 0.052  106.0
   571 Dulcinea         11.59  0.15 0.019   44.0
   572 Rebekka          10.94  0.15 0.080   30.0
   573 Recha             9.60  0.15 0.110   50.0
   574 Reginhild        12.30  0.15 0.190    8.0
   575 Renate           10.90  0.15 0.100   23.0
   576 Emanuela          9.40  0.15 0.025   86.0
